"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"log_lik[105]",-1.131589421885,-1.1251773,0.100397465729138,0.0919728686100003,-1.302823285,-0.97783399,1.00592854978117,714.112841675071,593.188326392759
"log_lik[106]",-1.0843782298225,-1.0786092,0.0980129681331556,0.0890492555399997,-1.25150738,-0.9349139855,1.00602977718264,707.082680167008,568.423981281134
"log_lik[107]",-0.98607335832,-0.987759245,0.0812367147501808,0.073452533343,-1.1130854,-0.858370607,1.00426779020641,1075.80066158319,813.610739114526
"log_lik[108]",-0.8670786986575,-0.87062444,0.081376419893039,0.0776310264659999,-0.992044853,-0.730559406,1.00224294529841,2142.80702777182,1423.42269357087
"log_lik[109]",-1.1811045517325,-1.1777405,0.0948465900989587,0.0876908974199998,-1.33806453,-1.037812935,1.00357668278531,1098.03950850499,1007.81555934
"log_lik[110]",-1.060807651725,-1.05622275,0.096716403200915,0.0888665843940001,-1.226108595,-0.912629039,1.00599550243012,721.751460043877,597.648003518191
"log_lik[111]",-0.8561191295675,-0.85714518,0.0814652169421012,0.079201574298,-0.985371687,-0.7214056365,1.00230068260795,2500.56867249111,2623.46144571717
"log_lik[112]",-1.18287563282,-1.1756456,0.102799312969913,0.0949613454300001,-1.356801315,-1.026484265,1.00575045651232,726.631638365279,637.55951329375
"log_lik[113]",-2.266073078075,-2.25397385,0.200661091439217,0.20248476066,-2.61917284,-1.963523845,1.00062254203629,2163.75216191099,2523.25774904973
"log_lik[114]",-0.874199551855,-0.873448725,0.0831483757197997,0.0817192589009999,-1.011305865,-0.7421995825,1.0030927624006,1650.47468903058,1993.779370713
"log_lik[115]",-0.9322253575625,-0.93477817,0.0808124671601629,0.072791456829,-1.055411115,-0.8012113965,1.00364236936034,1289.51296638322,895.825336663582
"log_lik[116]",-0.8655457790175,-0.865175815,0.0823905232063265,0.080385415572,-1.00090282,-0.734183934,1.00277318121135,1970.7787160479,2410.1758207754
"log_lik[117]",-2.12327587255,-2.11010045,0.188476387038606,0.1911582897,-2.448770435,-1.840571075,1.00074591503802,2105.11050244443,2620.81892886992
"log_lik[118]",-0.99109723613,-0.9871003,0.0923162085906077,0.086042802195,-1.145999175,-0.8484262145,1.00567754144852,774.913996415147,802.92366931613
"log_lik[119]",-0.9447236050475,-0.94055036,0.0889043816181628,0.082988764803,-1.09424462,-0.806773958,1.00497088721577,877.966117608589,1059.71015456509
"log_lik[120]",-1.372652094075,-1.36489175,0.112038726857059,0.10532753637,-1.568863835,-1.200164905,1.00429657528738,815.35750906006,918.621591407617
"log_lik[121]",-1.33639785017,-1.3291996,0.110873806445179,0.10574177481,-1.52583682,-1.171183575,1.00211560622462,1414.14431153405,1638.85289260258
"log_lik[122]",-1.0205858502075,-1.0165416,0.0942881012469772,0.0867102316500001,-1.179819845,-0.876489118,1.00585933359169,751.768998403871,640.634225417317
"log_lik[123]",-1.17415553231,-1.16701165,0.102397867251293,0.0943958076600002,-1.346641935,-1.018213525,1.00578132350817,725.761928646644,641.04162104618
"log_lik[124]",-0.9806987060375,-0.982541655,0.0811015639850566,0.0731463616170001,-1.106967375,-0.8525246945,1.00422901804349,1086.74064220873,800.415652397651
"log_lik[125]",-3.863913121075,-3.8400041,0.412921921760806,0.39194614053,-4.577513175,-3.24058564,1.00194342920023,1211.79771515854,1601.62672635625
"log_lik[126]",-1.08736196666,-1.0861085,0.0868117942407291,0.0794218441799999,-1.229851915,-0.9559495555,1.00429064026915,982.123509664153,926.923961406379
"log_lik[127]",-0.949181342045,-0.951419845,0.080834796687291,0.0730596443430001,-1.074017755,-0.8195603815,1.0038936748823,1183.88795878797,827.506477891238
